NAME,LANGUAGE,Html Url,Watchers Count,Stargazers Count,Forks Count
public-apis,Python,https://github.com/public-apis/public-apis,174335,174335,20172
system-design-primer,Python,https://github.com/donnemartin/system-design-primer,158668,158668,29308
Python,Python,https://github.com/TheAlgorithms/Python,127497,127497,33881
Python-100-Days,Python,https://github.com/jackfrued/Python-100-Days,114051,114051,44343
awesome-python,Python,https://github.com/vinta/awesome-python,113405,113405,20548
youtube-dl,Python,https://github.com/ytdl-org/youtube-dl,104878,104878,6813
models,Python,https://github.com/tensorflow/models,72530,72530,45380
thefuck,Python,https://github.com/nvbn/thefuck,66231,66231,3048
django,Python,https://github.com/django/django,61787,61787,26366
flask,Python,https://github.com/pallets/flask,57665,57665,14796
transformers,Python,https://github.com/huggingface/transformers,56943,56943,13467
keras,Python,https://github.com/keras-team/keras,53711,53711,18960
httpie,Python,https://github.com/httpie/httpie,53382,53382,3446
awesome-machine-learning,Python,https://github.com/josephmisiti/awesome-machine-learning,52641,52641,12994
HelloGitHub,Python,https://github.com/521xueweihan/HelloGitHub,51576,51576,7404
ansible,Python,https://github.com/ansible/ansible,51375,51375,21446
core,Python,https://github.com/home-assistant/core,48926,48926,16698
scikit-learn,Python,https://github.com/scikit-learn/scikit-learn,48565,48565,22503
requests,Python,https://github.com/psf/requests,46694,46694,8595
you-get,Python,https://github.com/soimort/you-get,42887,42887,8734
face_recognition,Python,https://github.com/ageitgey/face_recognition,42836,42836,11919
scrapy,Python,https://github.com/scrapy/scrapy,42506,42506,9481
cpython,Python,https://github.com/python/cpython,42258,42258,21499
big-list-of-naughty-strings,Python,https://github.com/minimaxir/big-list-of-naughty-strings,41714,41714,1981
fastapi,Python,https://github.com/tiangolo/fastapi,40636,40636,3054
manim,Python,https://github.com/3b1b/manim,40248,40248,4586
faceswap,Python,https://github.com/deepfakes/faceswap,40153,40153,11453
localstack,Python,https://github.com/localstack/localstack,38158,38158,2879
funNLP,Python,https://github.com/fighting41love/funNLP,36078,36078,10443
PayloadsAllTheThings,Python,https://github.com/swisskyrepo/PayloadsAllTheThings,33579,33579,9240
